id,name,review_count,rating,latitude,longitude,price,station,category_alias,category_title,no_of_bikes,network_id
-zFZOZuGQKUcaIbaGASo3A,Restaurant Rime,2.0,5.0,48.88785922,2.35982748,€,Pajol - Place Herbert,kebab,Kebab,25,velib
QW_3m4g6a_B5uQt9T96XKg,Bob's Bake Shop,40.0,4.5,48.8887667370818,2.36293970301517,€€,Pajol - Place Herbert,desserts,Desserts,25,velib
QW_3m4g6a_B5uQt9T96XKg,Bob's Bake Shop,40.0,4.5,48.8887667370818,2.36293970301517,€€,Pajol - Place Herbert,tradamerican,American (Traditional),25,velib
QW_3m4g6a_B5uQt9T96XKg,Bob's Bake Shop,40.0,4.5,48.8887667370818,2.36293970301517,€€,Pajol - Place Herbert,bagels,Bagels,25,velib
YZ6majJgV46Oc6jdPqtQ3Q,Anima,4.0,4.5,48.885212,2.352787,0,Pajol - Place Herbert,italian,Italian,25,velib
YZ6majJgV46Oc6jdPqtQ3Q,Anima,4.0,4.5,48.885212,2.352787,0,Pajol - Place Herbert,pizza,Pizza,25,velib
Vh5ZEAlVv7fgDagjELw35g,Shin Juku,2.0,5.0,48.8909646,2.3606396,0,Pajol - Place Herbert,fooddeliveryservices,Food Delivery Services,25,velib
Vh5ZEAlVv7fgDagjELw35g,Shin Juku,2.0,5.0,48.8909646,2.3606396,0,Pajol - Place Herbert,japanese,Japanese,25,velib
rDxm1ifIiTfDH9RAsJteDg,Le Petit Tibet,8.0,4.5,48.8848940934691,2.36512117221061,€€,Pajol - Place Herbert,himalayan,Himalayan/Nepalese,25,velib
rsnetdq0Csh1pWwfTTgH2w,Le Canaille Gourmet,2.0,5.0,48.884644,2.364138,€€€,Pajol - Place Herbert,french,French,25,velib
HoHyYr_1khMP763uAPctgw,Café des Sports / Hotel,2.0,5.0,48.891,2.37627,0,Pajol - Place Herbert,hotels,Hotels,25,velib
HoHyYr_1khMP763uAPctgw,Café des Sports / Hotel,2.0,5.0,48.891,2.37627,0,Pajol - Place Herbert,cafes,Cafes,25,velib
HoHyYr_1khMP763uAPctgw,Café des Sports / Hotel,2.0,5.0,48.891,2.37627,0,Pajol - Place Herbert,coffee,Coffee & Tea,25,velib
b9xcHyeMHOCysmhcwUtzrg,Ice Kube,31.0,4.0,48.887466,2.358853,0,Pajol - Place Herbert,cocktailbars,Cocktail Bars,25,velib
b9xcHyeMHOCysmhcwUtzrg,Ice Kube,31.0,4.0,48.887466,2.358853,0,Pajol - Place Herbert,lounges,Lounges,25,velib
M9KZBXIO6pCu2waIrYhvGQ,La Goutte d'Or,8.0,4.0,48.88501,2.3525,€€,Pajol - Place Herbert,brasseries,Brasseries,25,velib
