category_alias,category_title,id
lounges,Lounges,VXn49_1SRV1mHpH898fKVQ
indpak,Indian,JeCg9uzTSF6s3fR5fWUS5w
bakeries,Bakeries,GjTwrw-a7hrSIEEoYKFLIw
french,French,skTAHuCvKJOXXG7HAecszg
chinese,Chinese,PhVL_9GUsxyBiXe7FSEOaQ
french,French,w9yWBiJMReO7vzl6n0yxcw
bakeries,Bakeries,lyqP5LqZL0pfqWZVfeo1Lg
lebanese,Lebanese,EqbupxF_wuHxn7izysoabA
vietnamese,Vietnamese,Bd3Z4JjYpa809phAFrU0iQ
french,French,f63kX8v4ZU2Bog87CFfB_g
french,French,tE8YMel7Oljhke1cHLNOCA
restaurants,Restaurants,gLK_b2QssRKUsw1Pnje8dA
hotdogs,Fast Food,SgCsohy2i5RVbl2Rk3uALw
burgers,Burgers,l181LQ0Sj2l6FYBaOhZnJQ
hotdogs,Fast Food,l181LQ0Sj2l6FYBaOhZnJQ
tradamerican,American (Traditional),l181LQ0Sj2l6FYBaOhZnJQ
pizza,Pizza,IfAJyyIEDJGLt_xrZhrnQg
bakeries,Bakeries,2KppGmvolqvksc0NOxhYGQ
international,International,ifGTh9juxAPIIcQ-ueBWJg
italian,Italian,ifGTh9juxAPIIcQ-ueBWJg
pizza,Pizza,ifGTh9juxAPIIcQ-ueBWJg
pizza,Pizza,YI-TdlObyt6VL9KAtOiWPw
french,French,adM84MIOFR4SYklBU3jDLw
parks,Parks,lgAsA0EGdbPPg1uX3xYJ5Q
swimmingpools,Swimming Pools,lgAsA0EGdbPPg1uX3xYJ5Q
pizza,Pizza,KEEA8IB3rgxXoiGsUXn2cg
gardens,Botanical Gardens,VH19cv79Ok48UzdjOjNjFw
parks,Parks,VH19cv79Ok48UzdjOjNjFw
hotdogs,Fast Food,jWPPrc-AWfRmgrgEoLA7pw
bbq,Barbeque,NDMtsuUf1SvZI95SNzonCg
portuguese,Portuguese,u9Q3Xbh_bu-mnybkMM5NJw
brazilian,Brazilian,u9Q3Xbh_bu-mnybkMM5NJw
restaurants,Restaurants,5x8gFdkdeEvV9GjiVxHwow
seafood,Seafood,9bGx56AtmykWx0ZjgVnKeA
moroccan,Moroccan,JssxMOlcbzJs6LWHzc7MiA
restaurants,Restaurants,SXI-ng9VSfEwCOshuqXsoQ
bbq,Barbeque,3iGV-vTI3lwfpR9MEUrelg
halal,Halal,3iGV-vTI3lwfpR9MEUrelg
international,International,3iGV-vTI3lwfpR9MEUrelg
bakeries,Bakeries,rGXk-xm_NYYmo2OeTKMxYg
sushi,Sushi Bars,hRdqYfjW_IZnaRAPRUZR0w
japanese,Japanese,hRdqYfjW_IZnaRAPRUZR0w
lebanese,Lebanese,Oufv-86BCyzOMKlqXHv1ug
french,French,cOuqzzGeSsirXJCUTR1lxA
international,International,cOuqzzGeSsirXJCUTR1lxA
cafes,Cafes,1x7lpbzrfY7dJ9tZbB8rAA
french,French,atVZhutbFHRqmvTVAe-rEQ
french,French,ZdQsis9ahsuQS6Q4OPACDQ
kebab,Kebab,2tPU7aV8HDa_NFC1ICPuwA
bakeries,Bakeries,svuYgCsKpp9HAk10NzsjUw
bistros,Bistros,Df983zR2TAcf2cPcSVOceQ
pizza,Pizza,8pSJvDZqMqmmJtp2J48ALg
italian,Italian,8pSJvDZqMqmmJtp2J48ALg
bars,Bars,RRlkBdek3xZmq2EarPHF_A
bakeries,Bakeries,fxZn9zPmZ2hgSmi_MuZ-3Q
mediterranean,Mediterranean,8jHjG5meQIK8xWuPqSTzTA
pizza,Pizza,DMbgFrcv3MntJbE2QylH2A
italian,Italian,DMbgFrcv3MntJbE2QylH2A
restaurants,Restaurants,DCLMlZSINRFv_yHrEvyqtg
creperies,Creperies,xGDDlrL-t3folVWsqnLAyw
modern_european,Modern European,-1fF73WT42NNikWHNpkvfg
indpak,Indian,Xj1ied82xIjpNboafJv7Lg
burgers,Burgers,ZsfPJNSaI_8x1gsm8BxbvA
tradamerican,American (Traditional),ZsfPJNSaI_8x1gsm8BxbvA
pizza,Pizza,T0dNZhZNJQYVpwgsRJUg6Q
french,French,n7L1_oNPUwnm72HPKvYeqw
pizza,Pizza,V8d1QGNpJtMnkiMTkkGp6A
japanese,Japanese,ZOSEJjt6K3uMH1SzgEODZg
french,French,Q1eyoPvVbg1eqLgi8gM9Kg
lounges,Lounges,Q1eyoPvVbg1eqLgi8gM9Kg
restaurants,Restaurants,zjIhniJlX8FvryjNgVNzMw
restaurants,Restaurants,5yfrHbSL1PBOdypf9m2XDw
indpak,Indian,o4fiNRjUgIRLEExCnt8baQ
halal,Halal,o4fiNRjUgIRLEExCnt8baQ
