category_id,category,fsq_id
13148,French Restaurant,551d8924498ee1038e75807d
13003,Bar,5266a51711d287ff63ea60c6
13034,Café,5266a51711d287ff63ea60c6
13035,Coffee Shop,5266a51711d287ff63ea60c6
13143,Ethiopian Restaurant,4bce1d55fb84c9b6613a233e
13003,Bar,51a79b2e498eadcf45c54033
13065,Restaurant,51a79b2e498eadcf45c54033
13148,French Restaurant,4bcdebfbfb84c9b64dd8223e
10027,Museum,4adcda10f964a520bb3521e3
16017,Garden,4adcda09f964a520063421e3
18075,Swimming Pool,4d4406f83616b60c42d4dfc2
13064,Pizzeria,4be5b1c52457a593b5d8ab15
13302,Mediterranean Restaurant,4be5b1c52457a593b5d8ab15
13309,Middle Eastern Restaurant,4be5b1c52457a593b5d8ab15
12075,Post Office,5bcaffbedff8150039e29112
13031,Burger Joint,4b768e9af964a520d2512ee3
13145,Fast Food Restaurant,4b768e9af964a520d2512ee3
17069,Grocery Store,4fe20657e4b0b2da244183f4
17043,Clothing Store,4e10804c1838f8ad8152a68e
17052,Women's Store,4e10804c1838f8ad8152a68e
11090,Interior Designer,4d80fc96f724a0930bd618f7
17117,Sporting Goods Retail,51890993498e5317a24b3f3c
12068,Embassy or Consulate,50581066e4b0b66b9515e2a4
16039,Urban Park,4adcda0af964a520203421e3
10037,Concert Hall,4bc773712f94d13ac3f3117f
10039,Music Venue,4bc773712f94d13ac3f3117f
10043,Theater,4bc773712f94d13ac3f3117f
13003,Bar,5571d51f498e9ea789f8342d
13029,Brewery,5571d51f498e9ea789f8342d
13065,Restaurant,5571d51f498e9ea789f8342d
13003,Bar,5318cff6498e7b5d95c75fbe
13034,Café,5318cff6498e7b5d95c75fbe
13148,French Restaurant,5318cff6498e7b5d95c75fbe
13064,Pizzeria,58df99386f20d10582acc2b5
10040,Jazz and Blues Venue,59a19685625a6632a8515569
13065,Restaurant,59a19685625a6632a8515569
10024,Movie Theater,58411ec8bbd6d11f8c1da34a
13027,Bistro,53864aef498e7dc54e0704dc
10016,Exhibit,4b8a3f15f964a5208a6532e3
10026,Indie Movie Theater,4c41a17ea5c5ef3b1548b06f
